,COUNTY,STATE,5/17/20,POPULATION,infection_rate
778,Vanderburgh County,Indiana,207,181313.0,0.0011416721360299593
779,Vermillion County,Indiana,7,15560.0,0.00044987146529562984
780,Vigo County,Indiana,113,107693.0,0.001049278968920914
781,Wabash County,Indiana,71,31631.0,0.0022446334292308178
782,Warren County,Indiana,12,8247.0,0.0014550745725718443
783,Warrick County,Indiana,150,61928.0,0.002422167678594497
784,Washington County,Indiana,50,27827.0,0.0017968160419736228
785,Wayne County,Indiana,61,66613.0,0.0009157371684205786
786,Wells County,Indiana,16,27947.0,0.0005725122553404658
787,White County,Indiana,179,24217.0,0.007391501837552133
788,Whitley County,Indiana,28,33649.0,0.0008321198252548367
789,Adair County,Iowa,5,7124.0,0.0007018528916339135
790,Adams County,Iowa,1,3726.0,0.00026838432635534085
791,Allamakee County,Iowa,114,13880.0,0.008213256484149856
792,Appanoose County,Iowa,8,12510.0,0.000639488409272582
793,Audubon County,Iowa,11,5637.0,0.001951392584708178
794,Benton County,Iowa,36,25626.0,0.0014048232264106766
795,Black Hawk County,Iowa,1587,133009.0,0.011931523430745288
796,Boone County,Iowa,42,26399.0,0.0015909693548998068
797,Bremer County,Iowa,64,24782.0,0.0025825195706561214
798,Buchanan County,Iowa,26,21125.0,0.0012307692307692308
799,Buena Vista County,Iowa,102,20260.0,0.005034550839091807
800,Butler County,Iowa,14,14735.0,0.0009501187648456057
801,Calhoun County,Iowa,1,9780.0,0.00010224948875255624
802,Carroll County,Iowa,8,20344.0,0.00039323633503735744
803,Cass County,Iowa,2,13191.0,0.00015161852778409522
804,Cedar County,Iowa,42,18445.0,0.0022770398481973433
805,Cerro Gordo County,Iowa,18,42984.0,0.0004187604690117253
806,Cherokee County,Iowa,9,11468.0,0.0007847924659923265
807,Chickasaw County,Iowa,7,12099.0,0.0005785602115877345
808,Clarke County,Iowa,17,9282.0,0.0018315018315018315
809,Clay County,Iowa,9,16313.0,0.0005517072273646784
810,Clayton County,Iowa,28,17672.0,0.0015844273426889996
811,Clinton County,Iowa,61,47218.0,0.00129188021517218
812,Crawford County,Iowa,380,17132.0,0.022180714452486573
813,Dallas County,Iowa,776,84002.0,0.009237875288683603
814,Davis County,Iowa,13,8885.0,0.0014631401238041643
815,Decatur County,Iowa,0,8044.0,0.0
816,Delaware County,Iowa,12,17258.0,0.0006953297021671109
817,Des Moines County,Iowa,37,39600.0,0.0009343434343434344
818,Dickinson County,Iowa,6,17056.0,0.00035178236397748593
819,Dubuque County,Iowa,264,96802.0,0.0027272163798268633
820,Emmet County,Iowa,1,9551.0,0.00010470107842110774
821,Fayette County,Iowa,25,19929.0,0.0012544533092478298
822,Floyd County,Iowa,11,15858.0,0.0006936561987640308
823,Franklin County,Iowa,7,10245.0,0.0006832601268911664
824,Fremont County,Iowa,3,6968.0,0.00043053960964408724
825,Greene County,Iowa,13,9003.0,0.00144396312340331
826,Grundy County,Iowa,17,12341.0,0.0013775220808686492
827,Guthrie County,Iowa,37,10674.0,0.003466366872774967
828,Hamilton County,Iowa,11,15110.0,0.000727994705493051
829,Hancock County,Iowa,5,10888.0,0.0004592211609110948
830,Hardin County,Iowa,12,17127.0,0.0007006480994920302
831,Harrison County,Iowa,17,14143.0,0.0012020080605246411
832,Henry County,Iowa,47,19926.0,0.0023587272909766136
833,Howard County,Iowa,12,9264.0,0.0012953367875647669
834,Humboldt County,Iowa,7,9566.0,0.0007317583106836714
835,Ida County,Iowa,3,6916.0,0.00043377674956622325
836,Iowa County,Iowa,29,16207.0,0.0017893502807428889
837,Jackson County,Iowa,8,19395.0,0.0004124774426398556
838,Jasper County,Iowa,247,36891.0,0.006695399962050364
839,Jefferson County,Iowa,12,18077.0,0.0006638269624384577
840,Johnson County,Iowa,569,147001.0,0.0038707219678777694
841,Jones County,Iowa,36,20568.0,0.001750291715285881
842,Keokuk County,Iowa,11,10200.0,0.0010784313725490195
843,Kossuth County,Iowa,3,15075.0,0.0001990049751243781
844,Lee County,Iowa,18,34541.0,0.0005211198286094786
845,Linn County,Iowa,896,222121.0,0.004033837412941595
846,Louisa County,Iowa,307,11223.0,0.02735453978437138
847,Lucas County,Iowa,1,8597.0,0.00011631964638827499
848,Lyon County,Iowa,19,11769.0,0.0016144107400798708
849,Madison County,Iowa,16,15890.0,0.0010069225928256765
850,Mahaska County,Iowa,24,22208.0,0.001080691642651297
851,Marion County,Iowa,21,33207.0,0.0006323967838106423
852,Marshall County,Iowa,794,40271.0,0.019716421246057957
853,Mills County,Iowa,10,14957.0,0.0006685832720465334
854,Mitchell County,Iowa,4,10631.0,0.00037625811306556296
855,Monona County,Iowa,15,8796.0,0.0017053206002728514
856,Monroe County,Iowa,19,7863.0,0.002416380516342363
857,Montgomery County,Iowa,6,10155.0,0.0005908419497784342
858,Muscatine County,Iowa,532,42950.0,0.012386495925494762
859,O'Brien County,Iowa,22,13911.0,0.0015814822802099058
860,Osceola County,Iowa,26,6115.0,0.004251839738348324
861,Page County,Iowa,10,15363.0,0.0006509145349215648
862,Palo Alto County,Iowa,2,9055.0,0.00022087244616234125
863,Plymouth County,Iowa,83,25039.0,0.0033148288669675305
864,Pocahontas County,Iowa,3,6898.0,0.0004349086691794723
865,Polk County,Iowa,2922,474274.0,0.006160995542660993
866,Pottawattamie County,Iowa,161,93503.0,0.001721869886527705
867,Poweshiek County,Iowa,86,18605.0,0.004622413329750067
868,Ringgold County,Iowa,0,4984.0,0.0
869,Sac County,Iowa,4,9868.0,0.00040535062829347385
870,Scott County,Iowa,307,172288.0,0.001781900074294205
871,Shelby County,Iowa,21,11694.0,0.0017957927142124167
872,Sioux County,Iowa,135,34825.0,0.0038765254845656858
873,Story County,Iowa,75,96922.0,0.0007738181217886548
874,Tama County,Iowa,356,17136.0,0.020774976657329598
875,Taylor County,Iowa,2,6201.0,0.0003225286244154169
876,Union County,Iowa,2,12453.0,0.00016060387055328034
877,Van Buren County,Iowa,8,7223.0,0.001107573030596705
878,Wapello County,Iowa,379,35315.0,0.010731983576383972
879,Warren County,Iowa,72,49361.0,0.0014586414375721724
880,Washington County,Iowa,172,22143.0,0.007767691821343088
881,Wayne County,Iowa,1,6413.0,0.0001559332605644784
882,Webster County,Iowa,13,36757.0,0.0003536741300976685
883,Winnebago County,Iowa,6,10571.0,0.0005675905779964053
884,Winneshiek County,Iowa,18,20401.0,0.0008823096907014362
885,Woodbury County,Iowa,2215,102398.0,0.021631281860973847
886,Worth County,Iowa,3,7489.0,0.0004005875283749499
887,Wright County,Iowa,14,12804.0,0.0010934083099031554
888,Allen County,Kansas,0,12630.0,0.0
889,Anderson County,Kansas,1,7852.0,0.00012735608762098828
890,Atchison County,Kansas,15,16363.0,0.0009167023162011856
891,Barber County,Kansas,1,4733.0,0.00021128248468201986
892,Barton County,Kansas,31,26791.0,0.0011571049979470717
893,Bourbon County,Kansas,6,14702.0,0.0004081077404434771
894,Brown County,Kansas,3,9664.0,0.00031043046357615895
895,Butler County,Kansas,18,66468.0,0.0002708070048745261
896,Chase County,Kansas,3,2645.0,0.0011342155009451795
897,Chautauqua County,Kansas,4,3367.0,0.001188001188001188
898,Cherokee County,Kansas,8,20331.0,0.00039348777728591807
899,Cheyenne County,Kansas,2,2677.0,0.0007471049682480389
900,Clark County,Kansas,20,2053.0,0.00974184120798831
901,Clay County,Kansas,4,8142.0,0.0004912797838368951
902,Cloud County,Kansas,4,9060.0,0.0004415011037527594
903,Coffey County,Kansas,50,8296.0,0.006027000964320154
904,Comanche County,Kansas,0,1780.0,0.0
905,Cowley County,Kansas,4,35591.0,0.00011238796324913602
906,Crawford County,Kansas,8,39108.0,0.00020456172650097168
907,Decatur County,Kansas,0,2881.0,0.0
908,Dickinson County,Kansas,2,19004.0,0.00010524100189433803
909,Doniphan County,Kansas,9,7736.0,0.0011633919338159256
910,Douglas County,Kansas,60,119319.0,0.0005028536947175219
911,Edwards County,Kansas,4,2925.0,0.0013675213675213675
912,Elk County,Kansas,0,2562.0,0.0
913,Ellis County,Kansas,8,28878.0,0.00027702749497887663
914,Ellsworth County,Kansas,2,6293.0,0.0003178134435086604
915,Finney County,Kansas,1234,36957.0,0.03339015612739129
916,Ford County,Kansas,1311,34484.0,0.03801763136527085
917,Franklin County,Kansas,32,25563.0,0.0012518092555646833
918,Geary County,Kansas,14,34895.0,0.00040120361083249747
919,Gove County,Kansas,1,2619.0,0.00038182512409316535
920,Graham County,Kansas,0,2545.0,0.0
921,Grant County,Kansas,16,7616.0,0.0021008403361344537
922,Gray County,Kansas,12,6037.0,0.0019877422560874605
923,Greeley County,Kansas,0,1200.0,0.0
924,Greenwood County,Kansas,3,6156.0,0.0004873294346978557
925,Hamilton County,Kansas,9,2616.0,0.0034403669724770644
926,Harper County,Kansas,1,5673.0,0.00017627357659086903
927,Harvey County,Kansas,10,34555.0,0.0002893937201562726
928,Haskell County,Kansas,16,4047.0,0.003953545836422041
929,Hodgeman County,Kansas,0,1842.0,0.0
930,Jackson County,Kansas,25,13318.0,0.0018771587325424237
931,Jefferson County,Kansas,19,18888.0,0.0010059296908089793
932,Jewell County,Kansas,4,2916.0,0.0013717421124828531
933,Johnson County,Kansas,646,585502.0,0.001103326717927522
934,Kearny County,Kansas,36,3932.0,0.009155645981688708
935,Kingman County,Kansas,0,7470.0,0.0
936,Kiowa County,Kansas,2,2526.0,0.000791765637371338
937,Labette County,Kansas,22,20367.0,0.0010801787204792065
938,Lane County,Kansas,0,1642.0,0.0
939,Leavenworth County,Kansas,958,80042.0,0.011968716423877465
940,Lincoln County,Kansas,0,3097.0,0.0
941,Linn County,Kansas,6,9635.0,0.0006227296315516347
942,Logan County,Kansas,0,2810.0,0.0
943,Lyon County,Kansas,310,33299.0,0.009309588876542839
944,McPherson County,Kansas,26,28630.0,0.0009081383164512749
945,Marion County,Kansas,5,12032.0,0.0004155585106382979
946,Marshall County,Kansas,0,9798.0,0.0
947,Meade County,Kansas,22,4261.0,0.005163107251818822
948,Miami County,Kansas,6,33127.0,0.00018112113985570684
949,Mitchell County,Kansas,3,6222.0,0.00048216007714561236
950,Montgomery County,Kansas,20,32970.0,0.0006066120715802245
951,Morris County,Kansas,3,5566.0,0.0005389867049946101
952,Morton County,Kansas,4,2838.0,0.0014094432699083862
953,Nemaha County,Kansas,1,10104.0,9.897070467141726e-05
954,Neosho County,Kansas,2,16125.0,0.00012403100775193799
955,Ness County,Kansas,0,2955.0,0.0
956,Norton County,Kansas,2,5486.0,0.0003645643456069996
957,Osage County,Kansas,6,15882.0,0.00037778617302606723
958,Osborne County,Kansas,2,3603.0,0.0005550929780738274
959,Ottawa County,Kansas,4,5902.0,0.0006777363605557439
960,Pawnee County,Kansas,0,6709.0,0.0
961,Phillips County,Kansas,2,5408.0,0.0003698224852071006
962,Pottawatomie County,Kansas,19,23545.0,0.0008069653854321512
963,Pratt County,Kansas,1,9582.0,0.00010436234606553955
964,Rawlins County,Kansas,0,2509.0,0.0
965,Reno County,Kansas,41,63101.0,0.0006497519849130759
966,Republic County,Kansas,4,4686.0,0.0008536064874093043
967,Rice County,Kansas,4,9762.0,0.0004097520999795124
968,Riley County,Kansas,60,75296.0,0.0007968550786230345
969,Rooks County,Kansas,6,5118.0,0.0011723329425556857
970,Rush County,Kansas,0,3102.0,0.0
971,Russell County,Kansas,0,6977.0,0.0
972,Saline County,Kansas,24,54977.0,0.00043654619204394564
973,Scott County,Kansas,12,4949.0,0.0024247322691452818
974,Sedgwick County,Kansas,535,512064.0,0.0010447912760904888
975,Seward County,Kansas,758,22692.0,0.03340384276396968
976,Shawnee County,Kansas,185,178284.0,0.0010376702340086604
977,Sheridan County,Kansas,2,2506.0,0.0007980845969672786
978,Sherman County,Kansas,6,5966.0,0.0010056989607777405
979,Smith County,Kansas,2,3663.0,0.000546000546000546
980,Stafford County,Kansas,1,4214.0,0.00023730422401518748
981,Stanton County,Kansas,9,2063.0,0.004362578768783325
982,Stevens County,Kansas,26,5686.0,0.0045726345409778405
983,Sumner County,Kansas,6,23208.0,0.0002585315408479835
984,Thomas County,Kansas,0,7824.0,0.0
985,Trego County,Kansas,0,2858.0,0.0
986,Wabaunsee County,Kansas,28,6888.0,0.0040650406504065045
987,Wallace County,Kansas,0,1575.0,0.0
988,Washington County,Kansas,0,5525.0,0.0
989,Wichita County,Kansas,1,2143.0,0.0004666355576294914
990,Wilson County,Kansas,1,8780.0,0.00011389521640091117
991,Woodson County,Kansas,6,3170.0,0.0018927444794952682
992,Wyandotte County,Kansas,1154,164345.0,0.007021813867169674
993,Adair County,Kentucky,92,19241.0,0.004781456265266878
994,Allen County,Kentucky,38,20794.0,0.0018274502260267386
995,Anderson County,Kentucky,10,22214.0,0.00045016656162780226
996,Ballard County,Kentucky,10,8090.0,0.0012360939431396785
997,Barren County,Kentucky,34,43680.0,0.0007783882783882784
998,Bath County,Kentucky,7,12268.0,0.0005705901532442126
999,Bell County,Kentucky,0,27188.0,0.0
1000,Boone County,Kentucky,316,129095.0,0.002447809752507843
1001,Bourbon County,Kentucky,8,20144.0,0.0003971405877680699
1002,Boyd County,Kentucky,38,48091.0,0.0007901686386226113
1003,Boyle County,Kentucky,18,29913.0,0.0006017450606759602
1004,Bracken County,Kentucky,9,8306.0,0.0010835540573079702
1005,Breathitt County,Kentucky,2,13116.0,0.00015248551387618176
1006,Breckinridge County,Kentucky,14,20080.0,0.0006972111553784861
1007,Bullitt County,Kentucky,93,79466.0,0.0011703118314750963
1008,Butler County,Kentucky,217,12745.0,0.01702628481757552
1009,Caldwell County,Kentucky,12,12727.0,0.0009428773473717294
1010,Calloway County,Kentucky,46,38776.0,0.0011863008046214152
1011,Campbell County,Kentucky,131,92267.0,0.0014197925585528954
1012,Carlisle County,Kentucky,3,4841.0,0.0006197066721751704
1013,Carroll County,Kentucky,2,10711.0,0.00018672392867145925
1014,Carter County,Kentucky,8,27290.0,0.00029314767314034447
1015,Casey County,Kentucky,2,15796.0,0.00012661433274246644
1016,Christian County,Kentucky,95,72263.0,0.001314642348089617
1017,Clark County,Kentucky,20,35872.0,0.0005575379125780553
1018,Clay County,Kentucky,2,20621.0,9.698850686193686e-05
1019,Clinton County,Kentucky,3,10211.0,0.00029380080305552837
1020,Crittenden County,Kentucky,4,9083.0,0.0004403831333259936
1021,Cumberland County,Kentucky,5,6713.0,0.0007448234768359899
1022,Daviess County,Kentucky,287,99937.0,0.0028718092398210874
1023,Edmonson County,Kentucky,50,12122.0,0.004124731892426992
1024,Elliott County,Kentucky,0,7517.0,0.0
1025,Estill County,Kentucky,0,14313.0,0.0
1026,Fayette County,Kentucky,550,318734.0,0.0017255768132674895
1027,Fleming County,Kentucky,1,14479.0,6.906554320049727e-05
1028,Floyd County,Kentucky,16,36926.0,0.00043329903049341926
1029,Franklin County,Kentucky,20,50296.0,0.0003976459360585335
1030,Fulton County,Kentucky,1,6210.0,0.00016103059581320451
1031,Gallatin County,Kentucky,2,8703.0,0.0002298058140870964
1032,Garrard County,Kentucky,4,17328.0,0.00023084025854108956
1033,Grant County,Kentucky,32,24915.0,0.0012843668472807546
1034,Graves County,Kentucky,152,37294.0,0.00407572263634901
1035,Grayson County,Kentucky,103,26178.0,0.00393460157384063
1036,Green County,Kentucky,1,11023.0,9.071940488070398e-05
1037,Greenup County,Kentucky,13,35765.0,0.00036348385292884106
1038,Hancock County,Kentucky,7,8719.0,0.000802844362885652
1039,Hardin County,Kentucky,73,108095.0,0.0006753318839909339
1040,Harlan County,Kentucky,1,27134.0,3.6854131348124126e-05
1041,Harrison County,Kentucky,19,18668.0,0.001017784443968288
1042,Hart County,Kentucky,15,18627.0,0.0008052826542116283
1043,Henderson County,Kentucky,87,46137.0,0.0018856882762208207
1044,Henry County,Kentucky,12,15814.0,0.0007588212975844188
1045,Hickman County,Kentucky,5,4568.0,0.0010945709281961471
1046,Hopkins County,Kentucky,215,45664.0,0.004708304134548003
1047,Jackson County,Kentucky,57,13373.0,0.004262319599192403
1048,Jefferson County,Kentucky,1865,767154.0,0.002431063384926625
1049,Jessamine County,Kentucky,50,52422.0,0.0009537980237304948
1050,Johnson County,Kentucky,5,22843.0,0.00021888543536313092
1051,Kenton County,Kentucky,444,164688.0,0.0026960069950451764
1052,Knott County,Kentucky,4,15513.0,0.0002578482563011668
1053,Knox County,Kentucky,8,31467.0,0.00025423459497251087
1054,Larue County,Kentucky,6,14156.0,0.0004238485447866629
1055,Laurel County,Kentucky,21,60180.0,0.0003489531405782652
1056,Lawrence County,Kentucky,1,15783.0,6.335931065070012e-05
1057,Lee County,Kentucky,0,6751.0,0.0
1058,Leslie County,Kentucky,6,10472.0,0.0005729564553093965
1059,Letcher County,Kentucky,5,22676.0,0.00022049744222967015
1060,Lewis County,Kentucky,8,13490.0,0.0005930318754633062
1061,Lincoln County,Kentucky,7,24458.0,0.00028620492272467084
1062,Livingston County,Kentucky,7,9263.0,0.000755694699341466
1063,Logan County,Kentucky,87,26849.0,0.003240344146895601
1064,Lyon County,Kentucky,14,8186.0,0.0017102369899828977
1065,McCracken County,Kentucky,81,65284.0,0.0012407327982354023
1066,McCreary County,Kentucky,13,17635.0,0.0007371703997731783
1067,McLean County,Kentucky,19,9331.0,0.0020362233415496733
1068,Madison County,Kentucky,43,89700.0,0.0004793756967670011
1069,Magoffin County,Kentucky,1,12666.0,7.895152376440866e-05
1070,Marion County,Kentucky,17,19232.0,0.0008839434276206323
1071,Marshall County,Kentucky,35,31166.0,0.0011230186741962396
1072,Martin County,Kentucky,3,11919.0,0.0002516989680342311
1073,Mason County,Kentucky,8,17153.0,0.00046639071882469536
1074,Meade County,Kentucky,20,28326.0,0.0007060650992021465
1075,Menifee County,Kentucky,3,6405.0,0.000468384074941452
1076,Mercer County,Kentucky,12,21516.0,0.0005577244841048522
1077,Metcalfe County,Kentucky,3,10004.0,0.0002998800479808077
1078,Monroe County,Kentucky,6,10634.0,0.0005642279480910288
1079,Montgomery County,Kentucky,16,27759.0,0.0005763896393962319
1080,Morgan County,Kentucky,1,13285.0,7.527286413248025e-05
1081,Muhlenberg County,Kentucky,465,31081.0,0.014960908593674592
1082,Nelson County,Kentucky,32,45388.0,0.0007050321670926236
1083,Nicholas County,Kentucky,1,7100.0,0.00014084507042253522
1084,Ohio County,Kentucky,113,24071.0,0.004694445598437955
1085,Oldham County,Kentucky,55,65374.0,0.0008413130602380151
1086,Owen County,Kentucky,1,10741.0,9.310120100549297e-05
1087,Owsley County,Kentucky,2,4463.0,0.00044812906116961686
1088,Pendleton County,Kentucky,6,14520.0,0.00041322314049586776
1089,Perry County,Kentucky,19,26917.0,0.0007058736114723038
1090,Pike County,Kentucky,28,60483.0,0.0004629399996693286
1091,Powell County,Kentucky,1,12321.0,8.116224332440549e-05
1092,Pulaski County,Kentucky,49,64145.0,0.0007638943019720945
1093,Robertson County,Kentucky,0,2143.0,0.0
1094,Rockcastle County,Kentucky,12,16827.0,0.0007131395970761277
1095,Rowan County,Kentucky,6,24499.0,0.00024490795542675214
1096,Russell County,Kentucky,23,17760.0,0.001295045045045045
1097,Scott County,Kentucky,34,53517.0,0.0006353121438047723
1098,Shelby County,Kentucky,75,46786.0,0.0016030436455349891
1099,Simpson County,Kentucky,37,18063.0,0.0020483862038421083
1100,Spencer County,Kentucky,16,18246.0,0.0008769045270196207
1101,Taylor County,Kentucky,9,25500.0,0.00035294117647058826
1102,Todd County,Kentucky,17,12350.0,0.0013765182186234817
1103,Trigg County,Kentucky,9,14344.0,0.0006274400446179587
1104,Trimble County,Kentucky,3,8637.0,0.0003473428273706148
1105,Union County,Kentucky,10,14802.0,0.0006755843804891231
1106,Warren County,Kentucky,776,126427.0,0.006137929397992518
1107,Washington County,Kentucky,6,12019.0,0.0004992095848240286
1108,Wayne County,Kentucky,8,20609.0,0.00038817992139356593
1109,Webster County,Kentucky,32,13155.0,0.0024325351577347016
1110,Whitley County,Kentucky,12,36089.0,0.00033251129152927486
1111,Wolfe County,Kentucky,0,7223.0,0.0
1112,Woodford County,Kentucky,19,26097.0,0.0007280530329156609
1113,Acadia Parish,Louisiana,198,62568.0,0.0031645569620253164
1114,Allen Parish,Louisiana,100,25661.0,0.0038969642648376914
1115,Ascension Parish,Louisiana,756,121176.0,0.006238859180035651
1116,Assumption Parish,Louisiana,230,22714.0,0.010125913533503566
1117,Avoyelles Parish,Louisiana,92,40882.0,0.002250379139963798
1118,Beauregard Parish,Louisiana,52,36769.0,0.0014142348173733308
1119,Bienville Parish,Louisiana,83,13668.0,0.006072578285045362
1120,Bossier Parish,Louisiana,344,126131.0,0.0027273231798685496
1121,Caddo Parish,Louisiana,1877,248361.0,0.007557547279967467
1122,Calcasieu Parish,Louisiana,517,200182.0,0.00258264978869229
1123,Caldwell Parish,Louisiana,50,9996.0,0.005002000800320128
1124,Cameron Parish,Louisiana,3,6868.0,0.00043680838672102506
1125,Catahoula Parish,Louisiana,106,9893.0,0.010714646719902961
1126,Claiborne Parish,Louisiana,58,16153.0,0.003590664272890485
1127,Concordia Parish,Louisiana,57,20021.0,0.002847010638829229
1128,De Soto Parish,Louisiana,222,27216.0,0.008156966490299823
1129,East Baton Rouge Parish,Louisiana,3034,444094.0,0.006831886942854441
1130,East Carroll Parish,Louisiana,34,7225.0,0.004705882352941176
1131,East Feliciana Parish,Louisiana,176,19499.0,0.009026103902764244
1132,Evangeline Parish,Louisiana,66,33636.0,0.001962183374955405
1133,Franklin Parish,Louisiana,273,20322.0,0.013433717153823443
1134,Grant Parish,Louisiana,21,22348.0,0.0009396814032575622
1135,Iberia Parish,Louisiana,353,72691.0,0.004856172015792876
1136,Iberville Parish,Louisiana,526,32956.0,0.01596067483917951
1137,Jackson Parish,Louisiana,69,15926.0,0.004332537988195404
1138,Jefferson Parish,Louisiana,7039,435300.0,0.016170457155984377
1139,Jefferson Davis Parish,Louisiana,69,31467.0,0.0021927733816379065
1140,Lafayette Parish,Louisiana,590,240091.0,0.0024574015685719167
1141,Lafourche Parish,Louisiana,742,98214.0,0.007554931068890382
1142,LaSalle Parish,Louisiana,40,14949.0,0.0026757642651682387
1143,Lincoln Parish,Louisiana,121,47356.0,0.0025551144522341415
1144,Livingston Parish,Louisiana,348,138111.0,0.002519712405239264
1145,Madison Parish,Louisiana,24,11472.0,0.0020920502092050207
1146,Morehouse Parish,Louisiana,91,25992.0,0.0035010772545398584
1147,Natchitoches Parish,Louisiana,101,38963.0,0.0025922028591227574
1148,Orleans Parish,Louisiana,6809,389648.0,0.017474746437810537
1149,Ouachita Parish,Louisiana,946,156075.0,0.006061188531154894
1150,Plaquemines Parish,Louisiana,194,23373.0,0.008300175416078382
1151,Pointe Coupee Parish,Louisiana,168,22158.0,0.007581911724884917
1152,Rapides Parish,Louisiana,474,131546.0,0.003603302266887629
1153,Red River Parish,Louisiana,42,8618.0,0.004873520538407983
1154,Richland Parish,Louisiana,106,20474.0,0.005177298036534141
1155,Sabine Parish,Louisiana,29,24088.0,0.0012039189637994023
1156,St. Bernard Parish,Louisiana,512,45694.0,0.011204972206416598
1157,St. Charles Parish,Louisiana,613,52724.0,0.011626583718989454
1158,St. Helena Parish,Louisiana,41,10411.0,0.003938142349438094
1159,St. James Parish,Louisiana,283,21357.0,0.013250924755349534
1160,St. John the Baptist Parish,Louisiana,829,43446.0,0.019081158219398795
1161,St. Landry Parish,Louisiana,231,83449.0,0.0027681577969777948
1162,St. Martin Parish,Louisiana,274,53752.0,0.005097484744753683
1163,St. Mary Parish,Louisiana,274,51734.0,0.005296323500985812
1164,St. Tammany Parish,Louisiana,1539,252093.0,0.006104889862074711
1165,Tangipahoa Parish,Louisiana,729,130504.0,0.00558603567706737
1166,Tensas Parish,Louisiana,5,4666.0,0.0010715816545220746
1167,Terrebonne Parish,Louisiana,585,112587.0,0.0051959817740947
1168,Union Parish,Louisiana,242,22475.0,0.010767519466073416
1169,Vermilion Parish,Louisiana,44,59867.0,0.0007349625002087962
1170,Vernon Parish,Louisiana,20,51007.0,0.00039210304468014195
1171,Washington Parish,Louisiana,365,46457.0,0.007856727726715028
1172,Webster Parish,Louisiana,113,39631.0,0.0028513032726905706
1173,West Baton Rouge Parish,Louisiana,148,25860.0,0.005723124516627997
1174,West Carroll Parish,Louisiana,13,11180.0,0.0011627906976744186
1175,West Feliciana Parish,Louisiana,186,15377.0,0.01209598751381934
1176,Winn Parish,Louisiana,84,14494.0,0.00579550158686353
1177,Androscoggin County,Maine,131,107444.0,0.0012192397900301552
1178,Aroostook County,Maine,7,68269.0,0.00010253555786667448
1179,Cumberland County,Maine,837,290944.0,0.0028768422789265287
1180,Franklin County,Maine,33,30019.0,0.0010993037742762918
1181,Hancock County,Maine,11,54541.0,0.0002016831374562256
1182,Kennebec County,Maine,121,121545.0,0.0009955160640092147
1183,Knox County,Maine,20,39823.0,0.0005022223338271853
1184,Lincoln County,Maine,17,34067.0,0.0004990166436727625
1185,Oxford County,Maine,17,57325.0,0.0002965547317924117
1186,Penobscot County,Maine,93,151748.0,0.0006128581595803569
1187,Piscataquis County,Maine,1,16887.0,5.921714928643335e-05
1188,Sagadahoc County,Maine,27,35277.0,0.0007653712050344417
1189,Somerset County,Maine,20,50710.0,0.00039439952672056796
1190,Waldo County,Maine,50,39418.0,0.001268456035313816
1191,Washington County,Maine,5,31694.0,0.00015775856629014954
1192,York County,Maine,295,203102.0,0.0014524721568472984
1193,Allegany County,Maryland,161,71977.0,0.0022368256526390374
1194,Anne Arundel County,Maryland,2856,567696.0,0.005030861587892111
1195,Baltimore County,Maryland,4624,827625.0,0.005587071439359614
1196,Calvert County,Maryland,241,91082.0,0.002645967370062142
1197,Caroline County,Maryland,191,32875.0,0.005809885931558936
1198,Carroll County,Maryland,646,167522.0,0.003856209930635976
1199,Cecil County,Maryland,308,102517.0,0.0030043797614054254
1200,Charles County,Maryland,859,157671.0,0.005448053224752808
1201,Dorchester County,Maryland,111,32261.0,0.0034406868974923284
1202,Frederick County,Maryland,1423,248472.0,0.005727003445056183
1203,Garrett County,Maryland,6,29376.0,0.0002042483660130719
1204,Harford County,Maryland,687,251025.0,0.0027367792052584404
1205,Howard County,Maryland,1378,315327.0,0.0043700666292451965
1206,Kent County,Maryland,137,19593.0,0.006992293165926607
1207,Montgomery County,Maryland,8206,1040133.0,0.007889375685609436
1208,Prince George's County,Maryland,11316,906202.0,0.012487282085009745
1209,Queen Anne's County,Maryland,125,49355.0,0.002532671461857968
1210,St. Mary's County,Maryland,313,111531.0,0.002806394634675561
1211,Somerset County,Maryland,57,25737.0,0.002214710339200373
1212,Talbot County,Maryland,68,37211.0,0.0018274166241165246
1213,Washington County,Maryland,338,149811.0,0.002256176115238534
1214,Wicomico County,Maryland,818,102172.0,0.008006107348392907
1215,Worcester County,Maryland,137,51564.0,0.0026568924055542626
1216,Baltimore city,Maryland,3798,614700.0,0.0061786237188872625
1217,Barnstable County,Massachusetts,1150,213690.0,0.005381627591370677
1218,Berkshire County,Massachusetts,497,127328.0,0.003903304850464941
1219,Bristol County,Massachusetts,5870,558905.0,0.01050267934622163
1220,Dukes County,Massachusetts,0,17313.0,0.0
1221,Essex County,Massachusetts,12462,781024.0,0.015955975744663415
1222,Franklin County,Massachusetts,308,70935.0,0.0043420032424050185
1223,Hampden County,Massachusetts,5205,469116.0,0.011095336761056966
1224,Hampshire County,Massachusetts,767,161159.0,0.00475927500170639
1225,Middlesex County,Massachusetts,19129,1595192.0,0.011991659938114033
1226,Nantucket County,Massachusetts,0,11101.0,0.0
1227,Norfolk County,Massachusetts,7474,698249.0,0.010703917943312486
1228,Plymouth County,Massachusetts,7064,512135.0,0.01379323811104494
1229,Suffolk County,Massachusetts,16479,791766.0,0.0208129674676609
1230,Worcester County,Massachusetts,9252,822280.0,0.011251641776523812
1231,Alcona County,Michigan,6,10364.0,0.0005789270551910459
