,COUNTY,STATE,5/17/20,POPULATION,infection_rate
304,Teller County,Colorado,31,24113.0,0.0012856135694438685
305,Washington County,Colorado,10,4840.0,0.002066115702479339
306,Weld County,Colorado,2295,295123.0,0.007776418645784978
307,Yuma County,Colorado,12,10069.0,0.0011917767404906149
308,Fairfield County,Connecticut,14248,944348.0,0.015087658363230503
309,Hartford County,Connecticut,8723,894730.0,0.009749309847663541
310,Litchfield County,Connecticut,1269,183031.0,0.006933251744240047
311,Middlesex County,Connecticut,909,163368.0,0.005564125165271045
312,New Haven County,Connecticut,10159,859339.0,0.011821877047358494
313,New London County,Connecticut,873,268881.0,0.0032467894719225236
314,Tolland County,Connecticut,715,151269.0,0.004726678962642709
315,Windham County,Connecticut,313,116538.0,0.002685819217765879
316,Kent County,Delaware,1197,174822.0,0.006846964340872431
317,New Castle County,Delaware,2682,555133.0,0.00483127466751211
318,Sussex County,Delaware,3739,219540.0,0.017031064953994715
319,District of Columbia,District of Columbia,7123,684498.0,0.010406166270756087
320,Alachua County,Florida,332,263148.0,0.0012616474379436666
321,Baker County,Florida,26,27785.0,0.0009357567032571532
322,Bay County,Florida,84,182482.0,0.0004603193739656514
323,Bradford County,Florida,49,26979.0,0.0018162274361540457
324,Brevard County,Florida,365,576808.0,0.0006327928877546775
325,Broward County,Florida,6243,1909151.0,0.0032700399287431954
326,Calhoun County,Florida,40,14444.0,0.0027693159789531985
327,Charlotte County,Florida,380,176954.0,0.0021474507499124064
328,Citrus County,Florida,112,143087.0,0.0007827405704221907
329,Clay County,Florida,317,207291.0,0.0015292511493504302
330,Collier County,Florida,948,363922.0,0.0026049538087832007
331,Columbia County,Florida,111,69105.0,0.0016062513566312134
332,DeSoto County,Florida,66,36399.0,0.001813236627379873
333,Dixie County,Florida,22,16437.0,0.0013384437549431162
334,Duval County,Florida,1284,924229.0,0.0013892660801597873
335,Escambia County,Florida,689,311522.0,0.0022117218045595495
336,Flagler County,Florida,156,107139.0,0.001456052417887044
337,Franklin County,Florida,2,11736.0,0.00017041581458759374
338,Gadsden County,Florida,223,46017.0,0.004846035160918791
339,Gilchrist County,Florida,7,17615.0,0.0003973885892705081
340,Glades County,Florida,9,13363.0,0.0006735014592531617
341,Gulf County,Florida,1,16055.0,6.228589224540641e-05
342,Hamilton County,Florida,147,14269.0,0.010302053402480903
343,Hardee County,Florida,40,27228.0,0.0014690759512266784
344,Hendry County,Florida,211,40127.0,0.005258304881999651
345,Hernando County,Florida,109,182696.0,0.0005966195209528397
346,Highlands County,Florida,104,102101.0,0.0010185992301740433
347,Hillsborough County,Florida,1614,1378883.0,0.0011705126540830512
348,Holmes County,Florida,10,19430.0,0.000514668039114771
349,Indian River County,Florida,106,150984.0,0.0007020611455518465
350,Jackson County,Florida,129,48472.0,0.002661330252516917
351,Jefferson County,Florida,28,14105.0,0.0019851116625310174
352,Lafayette County,Florida,6,8744.0,0.0006861848124428179
353,Lake County,Florida,252,335362.0,0.0007514268163954174
354,Lee County,Florida,1456,718679.0,0.0020259392579997466
355,Leon County,Florida,280,288102.0,0.0009718780154250925
356,Levy County,Florida,25,39961.0,0.0006256099697204775
357,Liberty County,Florida,199,8365.0,0.023789599521817095
358,Madison County,Florida,63,18474.0,0.003410198116271517
359,Manatee County,Florida,849,373853.0,0.002270946067037044
360,Marion County,Florida,222,348371.0,0.0006372516656093647
361,Martin County,Florida,321,157581.0,0.0020370476136082395
362,Miami-Dade County,Florida,15658,2715516.0,0.005766123270862702
363,Monroe County,Florida,100,76325.0,0.0013101867016049786
364,Nassau County,Florida,66,80578.0,0.0008190821315991958
365,Okaloosa County,Florida,177,200737.0,0.0008817507484918076
366,Okeechobee County,Florida,35,40572.0,0.000862663906142167
367,Orange County,Florida,1655,1321194.0,0.0012526547955864166
368,Osceola County,Florida,622,338619.0,0.0018368727094463099
369,Palm Beach County,Florida,4524,1446277.0,0.003128031490509771
370,Pasco County,Florida,316,510593.0,0.0006188882338770802
371,Pinellas County,Florida,1022,957875.0,0.0010669450606811954
372,Polk County,Florida,736,668671.0,0.001100690773190403
373,Putnam County,Florida,131,72766.0,0.0018002913448588627
374,St. Johns County,Florida,231,235503.0,0.0009808792244684781
375,St. Lucie County,Florida,323,305591.0,0.00105696830076802
376,Santa Rosa County,Florida,183,170442.0,0.0010736790227760763
377,Sarasota County,Florida,508,412144.0,0.001232578904460577
378,Seminole County,Florida,432,455086.0,0.0009492711267760379
379,Sumter County,Florida,251,120999.0,0.00207439730906867
380,Suwannee County,Florida,158,43924.0,0.0035971223021582736
381,Taylor County,Florida,3,22098.0,0.00013575889220743959
382,Union County,Florida,25,15239.0,0.0016405275936741256
383,Volusia County,Florida,594,527634.0,0.0011257803704840855
384,Wakulla County,Florida,32,31877.0,0.0010038585814223422
385,Walton County,Florida,77,65858.0,0.0011691821798414772
386,Washington County,Florida,13,24566.0,0.0005291866807783115
387,Appling County,Georgia,108,18454.0,0.005852389725804703
388,Atkinson County,Georgia,20,8265.0,0.0024198427102238356
389,Bacon County,Georgia,60,11228.0,0.005343783398646241
390,Baker County,Georgia,33,3189.0,0.010348071495766699
391,Baldwin County,Georgia,287,45286.0,0.00633749944795301
392,Banks County,Georgia,43,18510.0,0.0023230686115613183
393,Barrow County,Georgia,257,76887.0,0.003342567664234526
394,Bartow County,Georgia,385,103620.0,0.0037154989384288748
395,Ben Hill County,Georgia,45,17154.0,0.0026232948583420775
396,Berrien County,Georgia,20,19025.0,0.0010512483574244415
397,Bibb County,Georgia,396,153490.0,0.0025799726366538536
398,Bleckley County,Georgia,34,12775.0,0.002661448140900196
399,Brantley County,Georgia,38,18561.0,0.0020473034858035665
400,Brooks County,Georgia,63,15622.0,0.004032774292664192
401,Bryan County,Georgia,61,35885.0,0.0016998745994147972
402,Bulloch County,Georgia,45,74782.0,0.0006017490840041722
403,Burke County,Georgia,112,22550.0,0.004966740576496674
404,Butts County,Georgia,197,23750.0,0.008294736842105263
405,Calhoun County,Georgia,123,6428.0,0.01913503422526447
406,Camden County,Georgia,47,52714.0,0.0008916037485298023
407,Candler County,Georgia,10,10827.0,0.0009236168837166343
408,Carroll County,Georgia,408,116022.0,0.003516574442778094
409,Catoosa County,Georgia,71,66299.0,0.0010709060468483687
410,Charlton County,Georgia,26,12983.0,0.0020026188092120466
411,Chatham County,Georgia,355,287049.0,0.0012367226501398716
412,Chattahoochee County,Georgia,19,10767.0,0.0017646512491873317
413,Chattooga County,Georgia,15,24817.0,0.0006044243865092477
414,Cherokee County,Georgia,714,241910.0,0.0029515108924806745
415,Clarke County,Georgia,195,124602.0,0.0015649829055713392
416,Clay County,Georgia,30,3001.0,0.009996667777407531
417,Clayton County,Georgia,1008,278666.0,0.003617233534051517
418,Clinch County,Georgia,41,6743.0,0.006080379652973454
